Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Sales__General_and_administrative,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-03-31,,,,,,,,,,,,,,,,,,6893,1.37,,,False
2013-04-01,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-02,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-03,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-04,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-05,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-06,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-07,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-08,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-09,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-10,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-11,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-12,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-13,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-14,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-15,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-16,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-17,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-18,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-19,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-20,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-21,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-22,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-23,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-24,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-25,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-26,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-27,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-28,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-29,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-04-30,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-01,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-02,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-03,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-04,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-05,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-06,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-07,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-08,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-09,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-10,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-11,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-12,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-13,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-14,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-15,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-16,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-17,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-18,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-19,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-20,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-21,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-22,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-23,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-24,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-25,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-26,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-27,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-28,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-29,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-30,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-05-31,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-01,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-02,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-03,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-04,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-05,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-06,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-07,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-08,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-09,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-10,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-11,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-12,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-13,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-14,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-15,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-16,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-17,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-18,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-19,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-20,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-21,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-22,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-23,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-24,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-25,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-26,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-27,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-28,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-29,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-06-30,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-01,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-02,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-03,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-04,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-05,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-06,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-07,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-08,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-09,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-10,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-11,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-12,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-13,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-14,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-15,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-16,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-17,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-18,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-19,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-20,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
2013-07-21,,,,,,,,,,,,,,,,,,6893,1.37,1.37,0.0,False
