,Unnamed: 0,C_score,Symbol,Close_grow,Revenue_grow,Research_and_development_grow
56,469,0.331154684096,00542,0.0671935102906,0.674588817897,
57,1256,0.332477535302,01728,0.108073213067,0.0299139138591,
58,830,0.333333333333,01029,-0.249186450295,-0.386169889785,
59,226,0.335515548282,00239,0.0441483155454,0.0818543866474,
60,1565,0.336996336996,03669,0.0548628939535,0.166401054142,
61,1415,0.337152209493,02300,-0.060033579541,-0.0743422864146,
62,657,0.337152209493,00814,-0.0654672828009,0.0596635025805,
63,542,0.337673611111,00628,0.796957293533,-0.0549767478706,
64,1378,0.337962962963,02193,-0.0538743919191,-0.0434343651896,
65,328,0.338577291382,00358,-0.0746697273613,0.0563597242232,
66,1395,0.338624338624,02233,-0.00176315873489,0.0121917953908,
67,568,0.339869281046,00674,-0.135259845442,-0.253484330372,
68,1292,0.340067340067,01882,0.150207000093,0.0567605345103,
69,735,0.340198863636,00904,-0.571493117789,-0.40214264476,
70,649,0.340277777778,00802,-0.0556601996946,-0.53509872339,
71,425,0.342962962963,00486,0.0906249938245,-0.0675036650978,
72,1382,0.343167701863,02200,-0.0234273333511,0.0611553665522,
73,169,0.343891402715,00179,0.440825715083,0.0694223452739,
74,915,0.344720496894,01131,0.490063630595,0.176198522563,
75,1317,0.346764346764,01972,-0.0163816289202,0.0408950997526,
76,916,0.346972176759,01132,0.042762053032,-0.0458934522178,
77,498,0.34879406308,00575,0.276220575864,-1.0,
78,1588,0.350155279503,03828,0.0874015545329,0.00159702525837,
79,127,0.350694444444,00131,-0.0321381823094,0.0439247708294,
80,730,0.351576994434,00898,0.0998158882027,-0.0155153805844,
81,241,0.35582010582,00256,0.196815442902,0.0630956600853,
82,1465,0.35582010582,02398,-0.0747930805206,-0.0764816270043,
83,142,0.357037037037,00149,-0.162139332996,0.181810838087,
84,545,0.357045143639,00631,-0.192240491255,-0.142141787851,
85,999,0.358,01235,0.0176037540596,0.0613650097102,
86,593,0.36,00711,0.0898029012373,0.207955321908,
87,513,0.360248447205,00592,0.0130943938975,-0.0371552995615,
88,283,0.360752056404,00303,0.0335470115256,0.0256093593859,0.0700118087783
89,817,0.36170212766,01008,-0.272612664373,-0.0696182885081,
90,712,0.362517099863,00877,0.266119899887,0.193876852425,0.23719419204
91,120,0.362847222222,00124,-0.128560986775,-0.075645574887,
92,898,0.363102232667,01112,-0.0258823904805,0.158594873524,
93,136,0.363636363636,00143,0.418021921136,0.00442165284863,
94,1299,0.36375,01893,0.183691004355,0.02021267985,
95,1600,0.363834422658,03889,-0.185513700023,-0.288616078211,
96,72,0.363834422658,00075,-0.0141888915257,-0.202344552663,
97,141,0.365740740741,00148,0.14473608684,-0.00894616691691,
98,626,0.366459627329,00756,0.0273583981715,-0.0252709550339,
99,1304,0.3671875,01910,0.123099844168,0.109314233796,
100,32,0.367897727273,00033,-0.0193871639185,-0.163676856846,
101,370,0.368,00401,0.576716220855,-0.135674649246,
102,876,0.368131868132,01088,-0.0911542997914,-0.0678598566042,
103,118,0.368673050616,00122,0.162947708408,-0.102439752481,
104,391,0.368888888889,00432,0.0197011710181,-0.350439738725,
105,76,0.36906710311,00079,0.213199849725,-0.00786445899927,
106,884,0.369963369963,01098,0.128009038839,0.141743867146,
107,597,0.37037037037,00718,1.15702728667,3.85468731626,
108,497,0.370909090909,00574,-0.243843847308,0.0436808394978,
109,838,0.371057513915,01039,0.201997466316,-0.0588002710396,
110,616,0.371522094926,00743,-0.0733397317193,-0.0118882730097,
111,1360,0.372592592593,02099,-0.161483358639,0.00470569331773,
112,221,0.373840445269,00234,-0.0320073420362,-0.0482647504935,
113,1610,0.374223602484,03948,-0.281895504929,-0.0758862556174,
114,1459,0.374236874237,02382,0.804823984574,0.339639131807,0.385363272599
115,501,0.375,00578,-0.213222708568,0.350703715125,
116,957,0.375661375661,01186,0.0667877461255,0.0607030156126,
117,105,0.376623376623,00109,0.00874881435492,0.562259715696,
118,40,0.37676508344,00041,0.06095367739,0.131552415001,
119,53,0.377130681818,00055,1.1495734151,-0.0297915144686,
120,1108,0.377192982456,01389,-0.474810011086,-0.0587570119636,
121,1189,0.377192982456,01577,-0.0152296933838,0.186251883099,
122,840,0.377645502646,01043,0.148202728763,0.142248197776,
123,1271,0.378690629012,01812,0.444350641806,0.0337865968495,
124,558,0.379259259259,00655,-0.0157266479543,0.181309559597,
125,1612,0.379310344828,03963,-0.184588671594,-0.0461541548382,
126,1286,0.37962962963,01856,-0.144404974317,-0.180759258642,
127,332,0.379971590909,00362,0.153988370421,-0.0999425907576,
128,758,0.380434782609,00934,-0.0646465205914,-0.433243187548,
129,522,0.380681818182,00603,-0.212217192223,0.0641817563354,
130,413,0.382,00469,0.19091149682,-0.00561533413938,
