Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Research_and_development,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-06-07,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-08,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-09,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-10,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-11,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-12,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-13,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-14,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-15,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-16,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-17,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-18,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-19,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-20,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-21,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-22,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-23,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-24,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-25,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-26,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-27,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-28,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-29,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-30,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-01,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-02,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-03,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-04,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-05,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-06,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-07,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-08,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-09,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-07-10,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
